Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
protein tyrosine kinase activity (GO:0004713)	124	+	3.83E-01	7.61E-01
G protein-coupled ATP receptor activity (GO:0045031)	1	-	3.84E-01	7.62E-01
A1 adenosine receptor binding (GO:0031686)	1	-	3.84E-01	7.61E-01
sterol esterase activity (GO:0004771)	5	+	3.84E-01	7.61E-01
mRNA 5'-diphosphatase activity (GO:0034353)	1	+	3.84E-01	7.61E-01
RNA NAD-cap (NAD-forming) hydrolase activity (GO:0110152)	1	+	3.84E-01	7.61E-01
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	12	-	3.84E-01	7.61E-01
calcium:sodium antiporter activity (GO:0005432)	10	-	3.84E-01	7.61E-01
dopamine binding (GO:0035240)	6	-	3.84E-01	7.61E-01
phosphatidylinositol 3-kinase catalytic subunit binding (GO:0036313)	2	+	3.84E-01	7.60E-01
tetrapyrrole binding (GO:0046906)	93	-	3.84E-01	7.60E-01
phosphoglucomutase activity (GO:0004614)	2	-	3.85E-01	7.60E-01
uridine kinase activity (GO:0004849)	4	+	3.85E-01	7.60E-01
gastric inhibitory peptide receptor activity (GO:0016519)	1	+	3.85E-01	7.59E-01
glucagon family peptide binding (GO:0120022)	1	+	3.85E-01	7.59E-01
calcium- and calmodulin-responsive adenylate cyclase activity (GO:0008294)	2	+	3.85E-01	7.59E-01
palmitoyl-CoA 9-desaturase activity (GO:0032896)	1	-	3.85E-01	7.59E-01
sodium:inorganic phosphate symporter activity (GO:0015319)	1	-	3.86E-01	7.60E-01
phosphate ion uniporter activity (GO:0140787)	1	-	3.86E-01	7.60E-01
phosphodiesterase I activity (GO:0004528)	4	+	3.86E-01	7.61E-01
phenylpyruvate tautomerase activity (GO:0050178)	2	-	3.86E-01	7.61E-01
structural constituent of synapse (GO:0098918)	20	-	3.87E-01	7.61E-01
low-affinity IgG receptor activity (GO:0019772)	1	-	3.87E-01	7.61E-01
IgG receptor activity (GO:0019770)	1	-	3.87E-01	7.61E-01
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	1	-	3.87E-01	7.61E-01
structural constituent of nuclear pore (GO:0017056)	24	+	3.87E-01	7.61E-01
nicotinate-nucleotide adenylyltransferase activity (GO:0004515)	4	-	3.88E-01	7.61E-01
peptide-serine-alpha-N-acetyltransferase activity (GO:1990189)	3	-	3.88E-01	7.61E-01
heparanase activity (GO:0030305)	1	-	3.88E-01	7.61E-01
store-operated calcium channel activity (GO:0015279)	8	+	3.88E-01	7.62E-01
lactate dehydrogenase activity (GO:0004457)	5	+	3.89E-01	7.62E-01
N6-threonylcarbomyladenosine methylthiotransferase activity (GO:0035598)	1	-	3.89E-01	7.62E-01
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase (GO:0061712)	1	-	3.89E-01	7.62E-01
L-threonylcarbamoyladenylate synthase (GO:0061710)	1	+	3.89E-01	7.62E-01
mRNA 5'-UTR binding (GO:0048027)	25	+	3.89E-01	7.62E-01
JUN kinase kinase kinase activity (GO:0004706)	11	+	3.89E-01	7.62E-01
ceramidase activity (GO:0102121)	5	+	3.90E-01	7.62E-01
3-oxo-lignoceronyl-CoA synthase activity (GO:0102338)	1	+	3.90E-01	7.62E-01
U2 snRNA binding (GO:0030620)	5	+	3.90E-01	7.62E-01
basal RNA polymerase II transcription machinery binding (GO:0001099)	58	+	3.91E-01	7.64E-01
basal transcription machinery binding (GO:0001098)	58	+	3.91E-01	7.63E-01
iron ion binding (GO:0005506)	109	-	3.91E-01	7.63E-01
beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0003830)	1	+	3.92E-01	7.64E-01
caffeine oxidase activity (GO:0034875)	1	+	3.93E-01	7.66E-01
oxidoreductase activity, acting on CH or CH2 groups, quinone or similar compound as acceptor (GO:0033695)	1	+	3.93E-01	7.65E-01
RNA 2'-O-methyltransferase activity (GO:0062105)	9	+	3.93E-01	7.66E-01
(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity (GO:0047290)	2	-	3.94E-01	7.67E-01
mevalonate transmembrane transporter activity (GO:0015130)	1	+	3.94E-01	7.67E-01
mRNA (adenine-N1-)-methyltransferase activity (GO:0061953)	3	+	3.94E-01	7.67E-01
tRNA (adenine-N1-)-methyltransferase activity (GO:0016429)	3	+	3.94E-01	7.67E-01
phosphatidyl phospholipase B activity (GO:0102545)	9	-	3.94E-01	7.67E-01
tyrosyl-DNA phosphodiesterase activity (GO:0070259)	2	+	3.95E-01	7.67E-01
complement binding (GO:0001848)	16	-	3.95E-01	7.67E-01
UDP-glucosyltransferase activity (GO:0035251)	9	+	3.95E-01	7.67E-01
NAD+ synthase (glutamine-hydrolyzing) activity (GO:0003952)	1	-	3.95E-01	7.67E-01
C-C chemokine binding (GO:0019957)	15	-	3.95E-01	7.67E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen (GO:0016713)	5	+	3.96E-01	7.67E-01
protein N-acetylglucosaminyltransferase activity (GO:0016262)	3	-	3.96E-01	7.68E-01
very-low-density lipoprotein particle receptor activity (GO:0030229)	3	+	3.96E-01	7.68E-01
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571)	6	-	3.96E-01	7.68E-01
growth hormone secretagogue receptor activity (GO:0001616)	1	+	3.97E-01	7.69E-01
immunoglobulin receptor binding (GO:0034987)	6	+	3.97E-01	7.69E-01
histone octamer slider activity (GO:0140751)	2	-	3.97E-01	7.69E-01
tRNA-5-taurinomethyluridine 2-sulfurtransferase (GO:0061708)	1	+	3.97E-01	7.69E-01
advanced glycation end-product receptor activity (GO:0050785)	1	-	3.98E-01	7.68E-01
glucoside transmembrane transporter activity (GO:0042947)	2	-	3.98E-01	7.69E-01
proton channel activity (GO:0015252)	16	+	3.98E-01	7.69E-01
histone H3-tri/di-methyl-lysine-27 demethylase activity (GO:0071558)	4	+	3.98E-01	7.69E-01
hydrolase activity, acting on ester bonds (GO:0016788)	629	+	3.99E-01	7.70E-01
manganese ion binding (GO:0030145)	59	+	4.00E-01	7.71E-01
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	69	+	4.00E-01	7.70E-01
metallochaperone activity (GO:0016530)	12	+	4.00E-01	7.70E-01
NEDD8 conjugating enzyme activity (GO:0061654)	2	-	4.00E-01	7.71E-01
monoamine oxidase activity (GO:0097621)	3	-	4.01E-01	7.72E-01
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity (GO:0047115)	2	-	4.01E-01	7.72E-01
deubiquitinase activator activity (GO:0035800)	3	-	4.01E-01	7.72E-01
type III transforming growth factor beta receptor binding (GO:0034714)	3	-	4.01E-01	7.72E-01
ABC-type vitamin B12 transporter activity (GO:0015420)	2	+	4.02E-01	7.72E-01
histamine receptor activity (GO:0004969)	5	-	4.02E-01	7.72E-01
glutathione peroxidase activity (GO:0004602)	18	-	4.02E-01	7.72E-01
transmembrane receptor protein kinase activity (GO:0019199)	73	-	4.02E-01	7.72E-01
glycerate kinase activity (GO:0008887)	1	+	4.02E-01	7.72E-01
phosphatase activity (GO:0016791)	247	+	4.02E-01	7.71E-01
interleukin-2 receptor binding (GO:0005134)	2	+	4.02E-01	7.71E-01
peptide-lysine-N-acetyltransferase activity (GO:0061733)	32	+	4.02E-01	7.71E-01
acetolactate synthase activity (GO:0003984)	1	-	4.02E-01	7.71E-01
glucosamine-6-phosphate deaminase activity (GO:0004342)	2	+	4.03E-01	7.71E-01
ethanolaminephosphotransferase activity (GO:0004307)	3	-	4.03E-01	7.72E-01
calmodulin binding (GO:0005516)	173	+	4.04E-01	7.73E-01
proline-tRNA ligase activity (GO:0004827)	2	+	4.04E-01	7.73E-01
arginine-tRNA ligase activity (GO:0004814)	3	-	4.04E-01	7.73E-01
type 1 melanocortin receptor binding (GO:0070996)	2	+	4.04E-01	7.73E-01
inositol tetrakisphosphate 5-kinase activity (GO:0047326)	1	-	4.05E-01	7.73E-01
inositol tetrakisphosphate 3-kinase activity (GO:0000824)	1	-	4.05E-01	7.73E-01
inositol-1,4,5-trisphosphate 6-kinase activity (GO:0000823)	1	-	4.05E-01	7.73E-01
myo-inositol-1,2,3,4,6-heptakisphosphate 5-kinase activity (GO:0102732)	1	-	4.05E-01	7.72E-01
sugar transmembrane transporter activity (GO:0051119)	22	+	4.05E-01	7.72E-01
vitamin E binding (GO:0008431)	3	-	4.05E-01	7.72E-01
dynactin binding (GO:0034452)	12	+	4.05E-01	7.72E-01
chondroitin 4-sulfotransferase activity (GO:0047756)	4	-	4.05E-01	7.72E-01
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	58	+	4.05E-01	7.72E-01
interleukin-12 receptor binding (GO:0005143)	2	+	4.06E-01	7.72E-01
transcription coregulator activity (GO:0003712)	465	+	4.06E-01	7.72E-01
epinephrine binding (GO:0051379)	4	-	4.06E-01	7.72E-01
G protein-coupled receptor kinase activity (GO:0004703)	5	+	4.06E-01	7.73E-01
1,2-diacylglycerol acylhydrolase activity (GO:0102259)	1	+	4.06E-01	7.72E-01
1,3-diacylglycerol acylhydrolase activity (GO:0102258)	1	+	4.06E-01	7.72E-01
dGTPase activity (GO:0008832)	1	+	4.07E-01	7.73E-01
deoxynucleoside triphosphate hydrolase activity (GO:0106375)	1	+	4.07E-01	7.73E-01
dGTP binding (GO:0032567)	1	+	4.07E-01	7.72E-01
guanyl deoxyribonucleotide binding (GO:0032560)	1	+	4.07E-01	7.72E-01
triphosphoric monoester hydrolase activity (GO:0016793)	1	+	4.07E-01	7.72E-01
diacylglycerol kinase activity (GO:0004143)	10	-	4.07E-01	7.72E-01
calmodulin-activated 3',5'-cyclic-GMP phosphodiesterase activity (GO:0048101)	3	-	4.07E-01	7.71E-01
calmodulin-activated dual specificity 3',5'-cyclic-GMP, 3',5'-cyclic-AMP phosphodiesterase activity (GO:0004117)	3	-	4.07E-01	7.71E-01
tyrosine 3-monooxygenase activity (GO:0004511)	1	+	4.07E-01	7.71E-01
ribonucleoprotein complex binding (GO:0043021)	149	+	4.08E-01	7.71E-01
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	55	+	4.08E-01	7.71E-01
carnitine O-acetyltransferase activity (GO:0004092)	1	-	4.08E-01	7.71E-01
CoA pyrophosphatase activity (GO:0010945)	4	+	4.08E-01	7.71E-01
phosphatidylserine 1-acylhydrolase activity (GO:0052739)	9	-	4.08E-01	7.71E-01
RS domain binding (GO:0050733)	4	-	4.09E-01	7.73E-01
retinoic acid 4-hydroxylase activity (GO:0008401)	5	-	4.10E-01	7.74E-01
RNA lariat debranching enzyme activity (GO:0008419)	1	+	4.10E-01	7.74E-01
microtubule plus-end binding (GO:0051010)	20	+	4.10E-01	7.74E-01
ADP-specific glucokinase activity (GO:0043843)	1	+	4.11E-01	7.74E-01
fructose-bisphosphate aldolase activity (GO:0004332)	2	+	4.11E-01	7.74E-01
ether hydrolase activity (GO:0016803)	8	-	4.11E-01	7.74E-01
U2 snRNA 2'-O-methyladenosine m6 methyltransferase activity (GO:0106347)	1	+	4.11E-01	7.74E-01
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	+	4.12E-01	7.74E-01
GTP 3',8'-cyclase activity (GO:0061798)	1	+	4.12E-01	7.74E-01
AMP-activated protein kinase activity (GO:0004679)	7	+	4.12E-01	7.74E-01
H3K27me3 modified histone binding (GO:0061628)	4	+	4.12E-01	7.74E-01
mycophenolic acid acyl-glucuronide esterase activity (GO:0102390)	1	+	4.12E-01	7.74E-01
U6 snRNA 3'-end binding (GO:0030629)	2	-	4.13E-01	7.75E-01
glucose-6-phosphate dehydrogenase activity (GO:0004345)	2	+	4.14E-01	7.76E-01
holocytochrome-c synthase activity (GO:0004408)	1	+	4.14E-01	7.76E-01
uroporphyrinogen-III synthase activity (GO:0004852)	1	-	4.14E-01	7.77E-01
extracellular matrix structural constituent (GO:0005201)	117	-	4.16E-01	7.81E-01
amide binding (GO:0033218)	307	-	4.17E-01	7.81E-01
Glc3Man9GlcNAc2 oligosaccharide glucosidase activity (GO:0004573)	1	+	4.17E-01	7.81E-01
cyclase regulator activity (GO:0010851)	11	+	4.17E-01	7.81E-01
carnitine O-acyltransferase activity (GO:0016406)	5	-	4.17E-01	7.81E-01
[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity (GO:0033871)	1	+	4.18E-01	7.81E-01
adipokinetic hormone binding (GO:0097004)	1	-	4.19E-01	7.83E-01
LEM domain binding (GO:0097726)	1	+	4.19E-01	7.83E-01
phosphatidylserine decarboxylase activity (GO:0004609)	2	+	4.19E-01	7.83E-01
water transmembrane transporter activity (GO:0005372)	10	-	4.19E-01	7.83E-01
proteasome regulatory particle binding (GO:1904855)	1	-	4.19E-01	7.83E-01
3-hydroxyisobutyrate dehydrogenase activity (GO:0008442)	1	+	4.19E-01	7.83E-01
3-mercaptopyruvate sulfurtransferase activity (GO:0016784)	1	-	4.20E-01	7.83E-01
CCR4 chemokine receptor binding (GO:0031729)	1	-	4.20E-01	7.83E-01
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)	5	-	4.20E-01	7.83E-01
aconitate decarboxylase activity (GO:0047613)	1	+	4.21E-01	7.84E-01
aspartate binding (GO:0070335)	1	+	4.21E-01	7.84E-01
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	9	+	4.21E-01	7.84E-01
interleukin-7 receptor activity (GO:0004917)	1	+	4.21E-01	7.84E-01
ATP-dependent protein folding chaperone (GO:0140662)	32	-	4.21E-01	7.84E-01
peptide binding (GO:0042277)	240	-	4.21E-01	7.84E-01
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	5	-	4.22E-01	7.84E-01
peroxidase inhibitor activity (GO:0036479)	1	+	4.22E-01	7.84E-01
GTP-dependent protein kinase activity (GO:0034211)	1	+	4.22E-01	7.83E-01
protein-transporting ATPase activity (GO:0015450)	1	+	4.22E-01	7.83E-01
retinol isomerase activity (GO:0050251)	1	-	4.23E-01	7.84E-01
malate dehydrogenase activity (GO:0016615)	7	-	4.23E-01	7.84E-01
tubulin-glutamic acid ligase activity (GO:0070740)	7	-	4.23E-01	7.85E-01
protein-glutamic acid ligase activity (GO:0070739)	7	-	4.23E-01	7.85E-01
BMP receptor binding (GO:0070700)	7	-	4.23E-01	7.85E-01
U4atac snRNA binding (GO:0030622)	3	-	4.24E-01	7.85E-01
serine-type exopeptidase activity (GO:0070008)	9	+	4.24E-01	7.85E-01
peptide-methionine (S)-S-oxide reductase activity (GO:0008113)	2	-	4.24E-01	7.85E-01
acetyl-CoA transmembrane transporter activity (GO:0008521)	1	+	4.25E-01	7.86E-01
TRAIL receptor activity (GO:0036463)	1	-	4.25E-01	7.86E-01
macromolecule transmembrane transporter activity (GO:0022884)	27	-	4.26E-01	7.87E-01
leukotriene-C4 synthase activity (GO:0004464)	5	-	4.27E-01	7.88E-01
cytidylate kinase activity (GO:0004127)	3	+	4.27E-01	7.88E-01
C3HC4-type RING finger domain binding (GO:0055131)	5	-	4.27E-01	7.89E-01
COPII receptor activity (GO:0097020)	1	+	4.27E-01	7.89E-01
cycloeucalenone reductase activity (GO:0102176)	2	+	4.28E-01	7.89E-01
gated channel activity (GO:0022836)	265	+	4.28E-01	7.89E-01
acyl-CoA dehydrogenase activity (GO:0003995)	11	-	4.28E-01	7.89E-01
oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor (GO:0052890)	11	-	4.28E-01	7.89E-01
peptide histaminyltransferase activity (GO:0120299)	1	+	4.28E-01	7.89E-01
peptide noradrenalinyltransferase activity (GO:0120298)	1	+	4.28E-01	7.89E-01
histone dopaminyltransferase activity (GO:0120297)	1	+	4.28E-01	7.88E-01
peptide dopaminyltransferase activity (GO:0120296)	1	+	4.28E-01	7.88E-01
histone serotonyltransferase activity (GO:0120295)	1	+	4.28E-01	7.88E-01
peptide serotonyltransferase activity (GO:0120294)	1	+	4.28E-01	7.87E-01
protein-glutamine glutaminase activity (GO:0050568)	1	+	4.28E-01	7.87E-01
iron ion transmembrane transporter activity (GO:0005381)	9	+	4.28E-01	7.87E-01
CCR5 chemokine receptor binding (GO:0031730)	4	+	4.28E-01	7.87E-01
calcium-dependent protein kinase activity (GO:0010857)	21	+	4.29E-01	7.87E-01
organic hydroxy compound transmembrane transporter activity (GO:1901618)	32	+	4.29E-01	7.88E-01
pyroglutamyl-peptidase activity (GO:0016920)	2	+	4.29E-01	7.88E-01
oxaloacetate decarboxylase activity (GO:0008948)	4	-	4.30E-01	7.88E-01
protein tyrosine kinase activator activity (GO:0030296)	23	-	4.30E-01	7.88E-01
temperature-gated ion channel activity (GO:0097603)	1	-	4.30E-01	7.88E-01
ABC-type oligopeptide transporter activity (GO:0015421)	1	+	4.30E-01	7.87E-01
MHC class I protein binding (GO:0042288)	14	+	4.30E-01	7.88E-01
leukotriene-A4 hydrolase activity (GO:0004463)	1	-	4.31E-01	7.89E-01
tripeptide aminopeptidase activity (GO:0045148)	1	-	4.31E-01	7.89E-01
tripeptidase activity (GO:0034701)	1	-	4.31E-01	7.88E-01
G-quadruplex DNA binding (GO:0051880)	9	+	4.31E-01	7.88E-01
cytosine C-5 DNA demethylase activity (GO:0051747)	1	+	4.32E-01	7.88E-01
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	5	+	4.32E-01	7.88E-01
myristoyl-CoA hydrolase activity (GO:0102991)	11	-	4.32E-01	7.88E-01
carboxylic acid transmembrane transporter activity (GO:0046943)	118	+	4.32E-01	7.88E-01
MAP kinase activity (GO:0004707)	15	+	4.32E-01	7.88E-01
chemoattractant activity involved in axon guidance (GO:1902379)	2	-	4.32E-01	7.87E-01
zinc ion transmembrane transporter activity (GO:0005385)	18	-	4.32E-01	7.87E-01
MAP-kinase scaffold activity (GO:0005078)	11	-	4.33E-01	7.88E-01
activin receptor binding (GO:0070697)	4	+	4.33E-01	7.88E-01
phosphatidylinositol-4,5-bisphosphate phosphatase activity (GO:0106019)	14	+	4.33E-01	7.88E-01
DNA polymerase activity (GO:0034061)	27	-	4.33E-01	7.89E-01
L-proline transmembrane transporter activity (GO:0015193)	4	+	4.33E-01	7.88E-01
ribosomal large subunit binding (GO:0043023)	13	+	4.34E-01	7.89E-01
benzaldehyde dehydrogenase (NADP+) activity (GO:0018477)	1	-	4.34E-01	7.89E-01
3-chloroallyl aldehyde dehydrogenase activity (GO:0004028)	1	-	4.34E-01	7.89E-01
snoRNA binding (GO:0030515)	31	-	4.34E-01	7.88E-01
cullin family protein binding (GO:0097602)	25	-	4.34E-01	7.88E-01
myosin phosphatase regulator activity (GO:0017020)	3	+	4.34E-01	7.88E-01
regulatory RNA binding (GO:0061980)	34	+	4.35E-01	7.89E-01
ubiquitin-protein transferase regulator activity (GO:0055106)	20	-	4.35E-01	7.89E-01
Fas-activated serine/threonine kinase activity (GO:0033867)	1	+	4.36E-01	7.90E-01
protein kinase C binding (GO:0005080)	47	+	4.36E-01	7.90E-01
procollagen-lysine 5-dioxygenase activity (GO:0008475)	3	+	4.36E-01	7.90E-01
preribosome binding (GO:1990275)	7	-	4.37E-01	7.91E-01
transforming growth factor beta receptor activity (GO:0005024)	12	-	4.37E-01	7.91E-01
triplex DNA binding (GO:0045142)	2	+	4.37E-01	7.91E-01
very-low-density lipoprotein particle receptor binding (GO:0070326)	4	-	4.37E-01	7.91E-01
all-trans-retinol 13,14-reductase activity (GO:0051786)	1	+	4.37E-01	7.90E-01
lysophosphatidic acid binding (GO:0035727)	6	+	4.37E-01	7.90E-01
histone acetyltransferase activity (GO:0004402)	30	+	4.37E-01	7.90E-01
sodium:bicarbonate symporter activity (GO:0008510)	5	+	4.38E-01	7.90E-01
quinone cofactor methyltransferase activity (GO:0030580)	2	+	4.38E-01	7.90E-01
2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity (GO:0008425)	2	+	4.38E-01	7.90E-01
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	9	-	4.39E-01	7.92E-01
calcium-dependent phospholipase C activity (GO:0050429)	2	-	4.40E-01	7.93E-01
dUTP diphosphatase activity (GO:0004170)	1	+	4.40E-01	7.93E-01
L-fuconate dehydratase activity (GO:0050023)	1	-	4.40E-01	7.93E-01
inhibin binding (GO:0034711)	4	-	4.40E-01	7.93E-01
chloride-activated potassium channel activity (GO:0070089)	1	-	4.41E-01	7.93E-01
death receptor agonist activity (GO:0038177)	1	-	4.41E-01	7.94E-01
small RNA 2'-O-methyltransferase activity (GO:0090486)	2	+	4.41E-01	7.94E-01
tRNA-specific adenosine-34 deaminase activity (GO:0052717)	2	+	4.42E-01	7.94E-01
LBD domain binding (GO:0050693)	7	+	4.42E-01	7.94E-01
hydrolase activity, acting on glycosyl bonds (GO:0016798)	92	-	4.42E-01	7.94E-01
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016796)	55	+	4.42E-01	7.94E-01
peptidyl-aspartic acid 3-dioxygenase activity (GO:0062101)	1	-	4.42E-01	7.94E-01
G protein-coupled photoreceptor activity (GO:0008020)	8	+	4.43E-01	7.94E-01
cocaine binding (GO:0019811)	1	+	4.43E-01	7.94E-01
cysteine desulfurase activity (GO:0031071)	1	+	4.43E-01	7.95E-01
NAD+- protein-aspartate ADP-ribosyltransferase activity (GO:0140806)	5	+	4.43E-01	7.95E-01
adenylate cyclase inhibitor activity (GO:0010855)	3	-	4.43E-01	7.95E-01
adenylate cyclase regulator activity (GO:0010854)	3	-	4.43E-01	7.94E-01
cyclase inhibitor activity (GO:0010852)	3	-	4.43E-01	7.94E-01
L-gulonate 3-dehydrogenase activity (GO:0050104)	1	-	4.44E-01	7.94E-01
U12 snRNA binding (GO:0030626)	2	+	4.44E-01	7.95E-01
structural constituent of chromatin (GO:0030527)	9	-	4.44E-01	7.95E-01
purine phosphoribosyltransferase activity (GO:0106130)	2	-	4.44E-01	7.94E-01
aralkylamine N-acetyltransferase activity (GO:0004059)	1	+	4.44E-01	7.94E-01
strictosidine synthase activity (GO:0016844)	1	-	4.45E-01	7.95E-01
amine-lyase activity (GO:0016843)	1	-	4.45E-01	7.94E-01
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity (GO:0004719)	3	-	4.46E-01	7.95E-01
protein serine/threonine/tyrosine kinase activity (GO:0004712)	43	+	4.46E-01	7.95E-01
GDP phosphatase activity (GO:0004382)	7	+	4.46E-01	7.95E-01
UDP phosphatase activity (GO:0045134)	7	+	4.46E-01	7.94E-01
steroid hydroxylase activity (GO:0008395)	18	-	4.46E-01	7.95E-01
fructose binding (GO:0070061)	5	-	4.46E-01	7.95E-01
adenylate cyclase activator activity (GO:0010856)	4	+	4.46E-01	7.95E-01
platelet-derived growth factor binding (GO:0048407)	8	-	4.46E-01	7.95E-01
intracellular chloride channel activity (GO:0061778)	14	-	4.47E-01	7.95E-01
intracellular calcium activated chloride channel activity (GO:0005229)	14	-	4.47E-01	7.95E-01
arachidonate 15-lipoxygenase activity (GO:0050473)	1	-	4.47E-01	7.95E-01
